"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Australia","AUS","Population, total","SP.POP.TOTL","10276477","10483000","10742000","10950000","11167000","11388000","11651000","11799000","12009000","12263000","12507000","12937000","13177000","13380000","13723000","13893000","14033000","14192000","14358000","14514000","14692000","14927000","15178000","15369000","15544000","15758000","16018400","16263900","16532200","16814400","17065100","17284000","17495000","17667000","17855000","18072000","18311000","18517000","18711000","18926000","19153000","19413000","19651400","19895400","20127400","20394800","20697900","20827600","21249200","21691700","22031750","22340024","22733465","23128129","23475686","23815995","24190907","24601860","24982688","25365745","25693267","25739256",
"Austria","AUT","Population, total","SP.POP.TOTL","7047539","7086299","7129864","7175811","7223801","7270889","7322066","7376998","7415403","7441055","7467086","7500482","7544201","7586115","7599038","7578903","7565525","7568430","7562305","7549425","7549433","7568710","7574140","7561910","7561434","7564985","7569794","7574586","7585317","7619567","7677850","7754891","7840709","7905633","7936118","7948278","7959017","7968041","7976789","7992324","8011566","8042293","8081957","8121423","8171966","8227829","8268641","8295487","8321496","8343323","8363404","8391643","8429991","8479823","8546356","8642699","8736668","8797566","8840521","8879920","8916864","8956279",
"Belgium","BEL","Population, total","SP.POP.TOTL","9153489","9183948","9220578","9289770","9378113","9463667","9527807","9580991","9618756","9646032","9655549","9673162","9711115","9741720","9772419","9800700","9818227","9830358","9839534","9848382","9859242","9858982","9856303","9855520","9855372","9858308","9861823","9870234","9901664","9937697","9967379","10004486","10045158","10084475","10115603","10136811","10156637","10181245","10203008","10226419","10251250","10286570","10332785","10376133","10421137","10478617","10547958","10625700","10709973","10796493","10895586","11038264","11106932","11159407","11209057","11274196","11331422","11375158","11427054","11488980","11544241","11587882",
"Brazil","BRA","Population, total","SP.POP.TOTL","72179235","74311338","76514329","78772647","81064572","83373533","85696502","88035815","90387079","92746607","95113265","97482928","99859388","102259497","104706193","107216209","109790943","112425392","115121158","117878412","120694012","123570327","126498322","129448815","132383569","135274083","138108915","140891606","143627505","146328305","149003225","151648007","154259382","156849086","159432717","162019889","164614682","167209046","169785253","172318674","174790339","177196051","179537523","181809244","184006479","186127108","188167353","190130445","192030362","193886505","195713637","197514541","199287292","201035904","202763744","204471759","206163056","207833825","209469320","211049519","212559409","213993441",
"Canada","CAN","Population, total","SP.POP.TOTL","17909009","18271000","18614000","18964000","19325000","19678000","20048000","20412000","20744000","21028000","21324000","21962032","22218463","22491777","22807969","23143275","23449808","23725843","23963203","24201544","24515667","24819915","25116942","25366451","25607053","25842116","26100278","26446601","26791747","27276781","27691138","28037420","28371264","28684764","29000663","29302311","29610218","29905948","30155173","30401286","30685730","31020902","31360079","31644028","31940655","32243753","32571174","32889025","33247118","33628895","34004889","34339328","34714222","35082954","35437435","35702908","36109487","36545236","37065084","37601230","38037204","38246108",
"Switzerland","CHE","Population, total","SP.POP.TOTL","5327827","5434294","5573815","5694247","5789228","5856472","5918002","5991785","6067714","6136387","6180877","6213399","6260956","6307347","6341405","6338632","6302504","6281174","6281738","6294365","6319408","6354074","6391309","6418773","6441865","6470365","6504124","6545106","6593386","6646912","6715519","6799978","6875364","6938265","6993795","7040687","7071850","7088906","7110001","7143991","7184250","7229854","7284753","7339001","7389625","7437115","7483934","7551117","7647675","7743831","7824909","7912398","7996861","8089346","8188649","8282396","8373338","8451840","8514329","8575280","8636561","8697723",
"China","CHN","Population, total","SP.POP.TOTL","667070000","660330000","665770000","682335000","698355000","715185000","735400000","754550000","774510000","796025000","818315000","841105000","862030000","881940000","900350000","916395000","930685000","943455000","956165000","969005000","981235000","993885000","1008630000","1023310000","1036825000","1051040000","1066790000","1084035000","1101630000","1118650000","1135185000","1150780000","1164970000","1178440000","1191835000","1204855000","1217550000","1230075000","1241935000","1252735000","1262645000","1271850000","1280400000","1288400000","1296075000","1303720000","1311020000","1317885000","1324655000","1331260000","1337705000","1345035000","1354190000","1363240000","1371860000","1379860000","1387790000","1396215000","1402760000","1407745000","1411100000","1412360000",
"Colombia","COL","Population, total","SP.POP.TOTL","16057714","16567817","17092919","17629978","18175187","18725242","19279734","19837508","20393704","20942453","21480064","22003983","22516429","23024512","23538390","24065502","24608102","25164544","25733669","26312996","26900508","27496608","28101824","28714183","29331230","29951194","30572479","31195417","31822527","32457497","33102569","33758328","34422568","35091272","35758978","36421438","37076387","37723803","38364307","38999468","39629965","40255956","40875363","41483872","42075953","42647731","43200901","43737512","44254972","44750054","45222699","45662747","46075721","46495492","46967706","47520667","48175048","48909844","49661056","50339443","50882884","51265841",
"Denmark","DNK","Population, total","SP.POP.TOTL","4579603","4611687","4647727","4684483","4722072","4759012","4797381","4835354","4864883","4891860","4928757","4963126","4991596","5021861","5045297","5059862","5072596","5088419","5104248","5116801","5123027","5121572","5117810","5114297","5111619","5113691","5120534","5127024","5129516","5132594","5140939","5154298","5171370","5188628","5206180","5233373","5263074","5284991","5304219","5321799","5339616","5358783","5375931","5390574","5404523","5419432","5437272","5461438","5493621","5523095","5547683","5570572","5591572","5614932","5643475","5683483","5728010","5764980","5793636","5814422","5831404","5856733",
"Spain","ESP","Population, total","SP.POP.TOTL","30455000","30739250","31023366","31296651","31609195","31954292","32283194","32682947","33113134","33441054","33814531","34224490","34604469","34988947","35373335","35757900","36137812","36511638","36864898","37191330","37491165","37758631","37986012","38171525","38330364","38469512","38584624","38684815","38766939","38827764","38867322","38966376","39157685","39361262","39549108","39724050","39889852","40057389","40223509","40386875","40567864","40850412","41431558","42187645","42921895","43653155","44397319","45226803","45954106","46362946","46576897","46742697","46773055","46620045","46480882","46444832","46484062","46593236","46797754","47134837","47363419","47326687",
